2022-04-10 13:30:34,000 - mealpy.swarm_based.SSA.BaseSSA - INFO - Solving single objective optimization problem.
2022-04-10 13:30:37,350 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 35, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09385 seconds
2022-04-10 13:30:37,446 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 36, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09610 seconds
2022-04-10 13:30:37,542 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 37, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09492 seconds
2022-04-10 13:30:37,637 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 38, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09428 seconds
2022-04-10 13:30:37,731 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 39, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09431 seconds
2022-04-10 13:30:37,826 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 40, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09357 seconds
2022-04-10 13:30:37,919 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 41, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09322 seconds
2022-04-10 13:30:38,013 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 42, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09310 seconds
2022-04-10 13:30:38,107 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 43, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09376 seconds
2022-04-10 13:30:38,202 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 44, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09497 seconds
2022-04-10 13:30:38,297 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 45, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09440 seconds
2022-04-10 13:30:38,392 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 46, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09430 seconds
2022-04-10 13:30:38,486 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 47, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09324 seconds
2022-04-10 13:30:38,580 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 48, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09402 seconds
2022-04-10 13:30:38,673 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 49, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09244 seconds
2022-04-10 13:30:38,766 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 50, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09285 seconds
2022-04-10 13:30:38,860 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 51, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09304 seconds
2022-04-10 13:30:38,953 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 52, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09242 seconds
2022-04-10 13:30:39,046 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 53, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09358 seconds
2022-04-10 13:30:39,140 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 54, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09345 seconds
2022-04-10 13:30:39,238 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 55, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09761 seconds
2022-04-10 13:30:39,332 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 56, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09315 seconds
2022-04-10 13:30:39,425 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 57, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09317 seconds
2022-04-10 13:30:39,521 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 58, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09472 seconds
2022-04-10 13:30:39,615 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 59, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09345 seconds
2022-04-10 13:30:39,709 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 60, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09389 seconds
2022-04-10 13:30:39,803 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 61, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09401 seconds
2022-04-10 13:30:39,897 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 62, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09364 seconds
2022-04-10 13:30:39,991 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 63, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09348 seconds
2022-04-10 13:30:40,085 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 64, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09360 seconds
2022-04-10 13:30:40,181 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 65, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09506 seconds
2022-04-10 13:30:40,276 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 66, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09497 seconds
2022-04-10 13:30:40,371 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 67, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09437 seconds
2022-04-10 13:30:40,466 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 68, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09456 seconds
2022-04-10 13:30:40,560 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 69, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09322 seconds
2022-04-10 13:30:40,654 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 70, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09343 seconds
2022-04-10 13:30:40,748 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 71, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09369 seconds
2022-04-10 13:30:40,841 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 72, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09329 seconds
2022-04-10 13:30:40,935 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 73, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09298 seconds
2022-04-10 13:30:41,033 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 74, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09723 seconds
2022-04-10 13:30:41,128 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 75, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09368 seconds
2022-04-10 13:30:41,222 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 76, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09345 seconds
2022-04-10 13:30:41,315 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 77, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09311 seconds
2022-04-10 13:30:41,410 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 78, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09402 seconds
2022-04-10 13:30:41,504 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 79, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09362 seconds
2022-04-10 13:30:41,598 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 80, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09384 seconds
2022-04-10 13:30:41,692 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 81, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09383 seconds
2022-04-10 13:30:41,788 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 82, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09554 seconds
2022-04-10 13:30:41,882 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 83, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09312 seconds
2022-04-10 13:30:41,974 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 84, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09221 seconds
2022-04-10 13:30:42,067 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 85, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09242 seconds
2022-04-10 13:30:42,161 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 86, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09303 seconds
2022-04-10 13:30:42,253 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 87, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09191 seconds
2022-04-10 13:30:42,346 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 88, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09238 seconds
2022-04-10 13:30:42,438 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 89, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09207 seconds
2022-04-10 13:30:42,531 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 90, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09246 seconds
2022-04-10 13:30:42,624 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 91, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09279 seconds
2022-04-10 13:30:42,717 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 92, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09241 seconds
2022-04-10 13:30:42,810 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 93, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09286 seconds
2022-04-10 13:30:42,904 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 94, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09287 seconds
2022-04-10 13:30:42,997 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 95, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09306 seconds
2022-04-10 13:30:43,090 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 96, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09222 seconds
